source_fps,node_count,link_mbps,effective_utilization,model_gop_per_reconstructed,effective_tops_total,required_tops,compute_load,link_load,steady_state_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_rate,bytes_per_output_frame_avg,bytes_per_second_avg,stale_generations_rejected,bottleneck
5,4,100,0.4,40,2.3256,2.2,0.945992,0.73824,59.525,97.664,110.396,110.396,1.0,173800.0,10428000.0,1,link_queue/deadline
5,4,250,0.4,40,2.3256,2.2,0.945992,0.295296,59.633,75.912,78.448,78.448,1.0,173800.0,10428000.0,1,link_queue/deadline
5,4,1000,0.4,40,2.3256,2.2,0.945992,0.073824,59.653,72.552,74.835,74.835,0.998333,173800.0,10428000.0,1,link_queue/deadline
5,8,100,0.4,40,4.6512,2.2,0.472996,0.73824,59.62,80.349,105.831,105.831,1.0,173800.0,10428000.0,1,link_queue/deadline
5,8,250,0.4,40,4.6512,2.2,0.472996,0.295296,59.66,73.629,73.882,73.882,1.0,173800.0,10428000.0,1,link_queue/deadline
5,8,1000,0.4,40,4.6512,2.2,0.472996,0.073824,59.68,70.269,70.269,70.269,0.998333,173800.0,10428000.0,1,link_queue/deadline
5,16,100,0.4,40,9.3024,2.2,0.236498,0.73824,59.62,80.349,105.831,105.831,1.0,173800.0,10428000.0,1,link_queue/deadline
5,16,250,0.4,40,9.3024,2.2,0.236498,0.295296,59.66,73.629,73.882,73.882,1.0,173800.0,10428000.0,1,link_queue/deadline
5,16,1000,0.4,40,9.3024,2.2,0.236498,0.073824,59.68,70.269,70.269,70.269,0.998333,173800.0,10428000.0,1,link_queue/deadline
10,4,100,0.4,40,2.3256,2.0,0.859993,0.90048,59.456,96.297,108.114,108.114,1.0,207600.0,12456000.0,1,link_queue/deadline
10,4,250,0.4,40,2.3256,2.0,0.859993,0.360192,59.645,73.629,76.165,76.165,1.0,207600.0,12456000.0,1,link_queue/deadline
10,4,1000,0.4,40,2.3256,2.0,0.859993,0.090048,59.667,70.269,72.552,72.552,0.998333,207600.0,12456000.0,1,link_queue/deadline
10,8,100,0.4,40,4.6512,2.0,0.429997,0.90048,59.62,88.414,105.831,105.831,1.0,207600.0,12456000.0,1,link_queue/deadline
10,8,250,0.4,40,4.6512,2.0,0.429997,0.360192,59.66,73.629,73.882,73.882,1.0,207600.0,12456000.0,1,link_queue/deadline
10,8,1000,0.4,40,4.6512,2.0,0.429997,0.090048,59.68,70.269,70.269,70.269,0.998333,207600.0,12456000.0,1,link_queue/deadline
10,16,100,0.4,40,9.3024,2.0,0.214998,0.90048,59.62,88.414,105.831,105.831,1.0,207600.0,12456000.0,1,link_queue/deadline
10,16,250,0.4,40,9.3024,2.0,0.214998,0.360192,59.66,73.629,73.882,73.882,1.0,207600.0,12456000.0,1,link_queue/deadline
10,16,1000,0.4,40,9.3024,2.0,0.214998,0.090048,59.68,70.269,70.269,70.269,0.998333,207600.0,12456000.0,1,link_queue/deadline
15,4,100,0.4,40,2.3256,1.8,0.773994,1.06272,55.773,433.788,742.456,774.518,1.0,241400.0,14484000.0,1,link
15,4,250,0.4,40,2.3256,1.8,0.773994,0.425088,59.66,73.629,73.882,73.882,1.0,241400.0,14484000.0,1,link_queue/deadline
15,4,1000,0.4,40,2.3256,1.8,0.773994,0.106272,59.68,70.269,70.269,70.269,0.998333,241400.0,14484000.0,1,link_queue/deadline
15,8,100,0.4,40,4.6512,1.8,0.386997,1.06272,55.773,433.788,742.456,774.518,1.0,241400.0,14484000.0,1,link
15,8,250,0.4,40,4.6512,1.8,0.386997,0.425088,59.66,73.629,73.882,73.882,1.0,241400.0,14484000.0,1,link_queue/deadline
15,8,1000,0.4,40,4.6512,1.8,0.386997,0.106272,59.68,70.269,70.269,70.269,0.998333,241400.0,14484000.0,1,link_queue/deadline
15,16,100,0.4,40,9.3024,1.8,0.193498,1.06272,55.773,433.788,742.456,774.518,1.0,241400.0,14484000.0,1,link
15,16,250,0.4,40,9.3024,1.8,0.193498,0.425088,59.66,73.629,73.882,73.882,1.0,241400.0,14484000.0,1,link_queue/deadline
15,16,1000,0.4,40,9.3024,1.8,0.193498,0.106272,59.68,70.269,70.269,70.269,0.998333,241400.0,14484000.0,1,link_queue/deadline
