source_fps,node_count,effective_utilization,reconstructed_fps,util_only_effective_tops,util_only_max_gop_per_reconstructed_frame,derated_effective_tops,derated_max_gop_per_reconstructed_frame
5,4,0.2,55.0,1.6,29.09090909090909,1.1628,21.14181818181818
5,4,0.3,55.0,2.4,43.63636363636363,1.7442,31.712727272727275
5,4,0.4,55.0,3.2,58.18181818181818,2.3256,42.28363636363636
5,4,0.5,55.0,4.0,72.72727272727273,2.907,52.85454545454545
5,4,0.6,55.0,4.8,87.27272727272727,3.4884,63.42545454545455
5,4,0.7,55.0,5.6,101.81818181818181,4.0698,73.99636363636363
5,8,0.2,55.0,3.2,58.18181818181818,2.3256,42.28363636363636
5,8,0.3,55.0,4.8,87.27272727272727,3.4884,63.42545454545455
5,8,0.4,55.0,6.4,116.36363636363636,4.6512,84.56727272727272
5,8,0.5,55.0,8.0,145.45454545454547,5.814,105.7090909090909
5,8,0.6,55.0,9.6,174.54545454545453,6.9768,126.8509090909091
5,8,0.7,55.0,11.2,203.63636363636363,8.1396,147.99272727272725
5,16,0.2,55.0,6.4,116.36363636363636,4.6512,84.56727272727272
5,16,0.3,55.0,9.6,174.54545454545453,6.9768,126.8509090909091
5,16,0.4,55.0,12.8,232.72727272727272,9.3024,169.13454545454545
5,16,0.5,55.0,16.0,290.90909090909093,11.628,211.4181818181818
5,16,0.6,55.0,19.2,349.09090909090907,13.9536,253.7018181818182
5,16,0.7,55.0,22.4,407.27272727272725,16.2792,295.9854545454545
10,4,0.2,50.0,1.6,32.0,1.1628,23.256
10,4,0.3,50.0,2.4,48.0,1.7442,34.884
10,4,0.4,50.0,3.2,64.0,2.3256,46.512
10,4,0.5,50.0,4.0,80.0,2.907,58.14
10,4,0.6,50.0,4.8,96.0,3.4884,69.768
10,4,0.7,50.0,5.6,112.0,4.0698,81.396
10,8,0.2,50.0,3.2,64.0,2.3256,46.512
10,8,0.3,50.0,4.8,96.0,3.4884,69.768
10,8,0.4,50.0,6.4,128.0,4.6512,93.024
10,8,0.5,50.0,8.0,160.0,5.814,116.28
10,8,0.6,50.0,9.6,192.0,6.9768,139.536
10,8,0.7,50.0,11.2,224.0,8.1396,162.792
10,16,0.2,50.0,6.4,128.0,4.6512,93.024
10,16,0.3,50.0,9.6,192.0,6.9768,139.536
10,16,0.4,50.0,12.8,256.0,9.3024,186.048
10,16,0.5,50.0,16.0,320.0,11.628,232.56
10,16,0.6,50.0,19.2,384.0,13.9536,279.072
10,16,0.7,50.0,22.4,448.0,16.2792,325.584
15,4,0.2,45.0,1.6,35.55555555555556,1.1628,25.84
15,4,0.3,45.0,2.4,53.333333333333336,1.7442,38.76
15,4,0.4,45.0,3.2,71.11111111111111,2.3256,51.68
15,4,0.5,45.0,4.0,88.88888888888889,2.907,64.6
15,4,0.6,45.0,4.8,106.66666666666667,3.4884,77.52
15,4,0.7,45.0,5.6,124.44444444444444,4.0698,90.44
15,8,0.2,45.0,3.2,71.11111111111111,2.3256,51.68
15,8,0.3,45.0,4.8,106.66666666666667,3.4884,77.52
15,8,0.4,45.0,6.4,142.22222222222223,4.6512,103.36
15,8,0.5,45.0,8.0,177.77777777777777,5.814,129.2
15,8,0.6,45.0,9.6,213.33333333333334,6.9768,155.04
15,8,0.7,45.0,11.2,248.88888888888889,8.1396,180.88
15,16,0.2,45.0,6.4,142.22222222222223,4.6512,103.36
15,16,0.3,45.0,9.6,213.33333333333334,6.9768,155.04
15,16,0.4,45.0,12.8,284.44444444444446,9.3024,206.72
15,16,0.5,45.0,16.0,355.55555555555554,11.628,258.4
15,16,0.6,45.0,19.2,426.6666666666667,13.9536,310.08
15,16,0.7,45.0,22.4,497.77777777777777,16.2792,361.76
