source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,5,1080p,60,4,2.0,0.4,12.5,encoded,600,50,550,59.39165771696781,165.87609863281205,203.97609863281286,255.3817236328141,251,81816064,15000000,96816064,161360.10666666666,9.233099365234375,0.6194381932847751,0.11803192976428425,0.7558182361061351,1,1710.0,1.71,3200.0,1.871345029239766,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,4,2.0,0.4,12.5,raw,600,50,550,4.211180609506578,66381.14578125041,125756.31906250061,131253.5515625003,600,81816064,1866240000,1948056064,3246760.1066666665,185.781103515625,0.04392142278263741,0.9996697929937803,0.053591484436580905,1,1710.0,1.71,3200.0,1.871345029239766,OUTPUT_INTERCONNECT
360p,5,1080p,60,4,2.0,0.4,25,encoded,600,50,550,59.630108815577984,124.52445556640578,162.62445556640705,216.48804931640734,2,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.3133044181688279,0.06163811196717305,0.6477320570092178,1,1710.0,1.71,3200.0,1.871345029239766,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,4,2.0,0.4,25,raw,600,50,550,8.406359200576162,30773.566718750277,58212.56718750074,60862.14343750078,599,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.04416811457447211,0.9981067302887954,0.09131407681625883,1,1710.0,1.71,3200.0,1.871345029239766,OUTPUT_INTERCONNECT
360p,5,1080p,60,4,2.0,0.4,50,encoded,600,50,550,59.73120699465732,100.52222778320265,138.62222778320393,198.9786340332048,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.15770227048728672,0.033260555558947635,0.572045769387834,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,50,raw,600,50,550,16.74559481835452,12967.873359375033,24448.1335937505,25673.88171875054,599,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.04421170199609159,0.9947916839282932,0.1603725615753815,1,1710.0,1.71,3200.0,1.871345029239766,OUTPUT_INTERCONNECT
360p,5,1080p,60,4,2.0,0.4,100,encoded,600,50,550,59.77929356020631,88.52111389160109,126.62111389160236,184.32201232910302,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.07969971568253723,0.01903483771513627,0.5709520327935313,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,100,raw,600,50,550,33.22588566453577,4065.026679687482,7595.659882812513,8079.750859375054,599,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.044297840992332575,0.9882403726698394,0.3173404339819816,1,1710.0,1.71,3200.0,1.871345029239766,OUTPUT_INTERCONNECT
360p,5,1080p,60,4,2.0,0.4,125,encoded,600,50,550,59.78892016570554,86.12089111328078,124.22089111328205,181.1376098632827,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.06408413127835982,0.01618694512679595,0.5710439765026544,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,125,raw,600,50,550,41.368504606124546,2291.604453124981,4213.2839062499625,4560.924687499961,598,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.04434040074015167,0.985003486158357,0.39511058749309613,1,1710.0,1.71,3200.0,1.871345029239766,OUTPUT_INTERCONNECT
360p,5,1080p,60,4,2.0,0.4,200,encoded,600,50,550,59.80336588871388,82.52055694580031,120.62055694580158,176.36100616455224,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.04065132238906001,0.011913386031436029,0.571181947603107,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,200,raw,600,50,550,58.92111932082118,144.52124999999933,219.07896484374942,293.63667968749905,0,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.04005161551428666,0.8786048025192672,0.5627556106331639,1,1710.0,1.71,3200.0,1.871345029239766,OUTPUT_INTERCONNECT_HEADROOM_LOW
360p,5,1080p,60,4,2.0,0.4,400,encoded,600,50,550,59.81540932463727,79.52027847289992,117.62027847290119,172.38050308227685,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.021115330164876656,0.008350508970860494,0.5712969744596115,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,400,raw,600,50,550,59.73328034493588,99.74753906249953,137.8475390625008,183.4433105468761,0,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.021086337961327778,0.447747019477745,0.5705125605744835,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,800,encoded,600,50,550,59.82143286179786,78.02013923644972,116.120139236451,170.39025154113915,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.011344383079704626,0.0065685322567849225,0.5713545052630322,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.4,800,raw,600,50,550,59.780331887160266,88.13376953124953,126.2337695312508,174.06833496093896,0,82227200,1866240000,1948467200,3247445.3333333335,185.8203125,0.011336588796302637,0.22644106681860926,0.5709619498542686,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
