source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,5,1080p,60,4,2.0,0.2,125,encoded,600,50,550,54.49670035507009,540.9408911132832,914.4874536133066,1101.9477661133114,593,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.058411720601619914,0.01475415671990923,0.9837199381093729,1,1710.0,1.71,1600.0,0.935672514619883,COMPUTE_CAPACITY
360p,5,1080p,60,4,2.0,0.3,125,encoded,600,50,550,59.34539552629008,111.12089111328078,161.72089111328205,236.1376098632827,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.06360874401365071,0.01606686754418194,0.7527567786539743,1,1710.0,1.71,2400.0,1.4035087719298245,HEADROOM
360p,5,1080p,60,4,2.0,0.4,125,encoded,600,50,550,59.78892016570554,86.12089111328078,124.22089111328205,181.1376098632827,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.06408413127835982,0.01618694512679595,0.5710439765026544,1,1710.0,1.71,3200.0,1.871345029239766,HEADROOM
360p,5,1080p,60,4,2.0,0.5,125,encoded,600,50,550,60.05823142600726,71.12089111328078,101.72089111328205,148.1376098632827,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.06437278974738861,0.01625985707403384,0.46070669326890146,1,1710.0,1.71,4000.0,2.3391812865497075,HEADROOM
360p,5,1080p,60,4,2.0,0.6,125,encoded,600,50,550,60.23912418907965,61.12089111328078,86.72089111328205,126.1376098632827,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.06456667777118813,0.01630883105151281,0.3865946193374492,1,1710.0,1.71,4800.0,2.807017543859649,HEADROOM
360p,5,1080p,60,4,2.0,0.7,125,encoded,600,50,550,60.36900189630833,53.978033970422985,76.00660539899536,110.42332414899283,0,82227200,15000000,97227200,162045.33333333334,9.272308349609375,0.06470588583878842,0.01634399347482265,0.33338350090079927,1,1710.0,1.71,5600.0,3.2748538011695905,HEADROOM
360p,5,1080p,60,8,2.0,0.2,125,encoded,600,50,550,59.70394149132869,98.38776611328058,161.1208911132817,194.93760986328198,50,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12797813501731473,0.016163938437006715,0.7477918671788932,1,1710.0,1.71,3200.0,1.871345029239766,PER_FRAME_LATENCY_OR_BURST
360p,5,1080p,60,8,2.0,0.3,125,encoded,600,50,550,60.15286185945279,73.38776611328058,111.12089111328169,134.93760986328198,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.1289404164019056,0.01628547683149496,0.5042814919217461,1,1710.0,1.71,4800.0,2.807017543859649,HEADROOM
360p,5,1080p,60,8,2.0,0.4,125,encoded,600,50,550,60.379863207616566,60.88776611328058,86.12089111328169,104.93760986328198,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.1294270041959231,0.016346934010454738,0.38114788649807896,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.5,125,encoded,600,50,550,60.51688826142815,53.38776611328058,71.12089111328169,87.20834472656315,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.12972072367908322,0.016384031469664526,0.30682062348544015,1,1710.0,1.71,8000.0,4.678362573099415,HEADROOM
