source_fps,reconstructed_positions_per_s,nodes,nominal_aggregate_tops,effective_utilization,effective_aggregate_tops,simple_max_gop_per_reconstructed_frame,max_gop_per_reconstructed_frame_after_keyframe_finish,synthetic_required_gop_per_reconstructed_frame,synthetic_keyframe_finish_gop,synthetic_total_required_tops,capacity_margin,capacity_pass
5,55,4,8.0,0.2,1.6,29.09090909090909,28.0,30.0,12.0,1.71,0.935672514619883,False
5,55,4,8.0,0.3,2.4,43.63636363636363,42.54545454545455,30.0,12.0,1.71,1.4035087719298245,True
5,55,4,8.0,0.4,3.2,58.18181818181818,57.09090909090909,30.0,12.0,1.71,1.871345029239766,True
5,55,4,8.0,0.5,4.0,72.72727272727273,71.63636363636364,30.0,12.0,1.71,2.3391812865497075,True
5,55,4,8.0,0.6,4.8,87.27272727272727,86.18181818181819,30.0,12.0,1.71,2.807017543859649,True
5,55,4,8.0,0.7,5.6,101.81818181818181,100.72727272727273,30.0,12.0,1.71,3.2748538011695905,True
5,55,8,16.0,0.2,3.2,58.18181818181818,57.09090909090909,30.0,12.0,1.71,1.871345029239766,True
5,55,8,16.0,0.3,4.8,87.27272727272727,86.18181818181819,30.0,12.0,1.71,2.807017543859649,True
5,55,8,16.0,0.4,6.4,116.36363636363636,115.27272727272727,30.0,12.0,1.71,3.742690058479532,True
5,55,8,16.0,0.5,8.0,145.45454545454547,144.36363636363637,30.0,12.0,1.71,4.678362573099415,True
5,55,8,16.0,0.6,9.6,174.54545454545453,173.45454545454547,30.0,12.0,1.71,5.614035087719298,True
5,55,8,16.0,0.7,11.2,203.63636363636363,202.54545454545453,30.0,12.0,1.71,6.549707602339181,True
5,55,16,32.0,0.2,6.4,116.36363636363636,115.27272727272727,30.0,12.0,1.71,3.742690058479532,True
5,55,16,32.0,0.3,9.6,174.54545454545453,173.45454545454547,30.0,12.0,1.71,5.614035087719298,True
5,55,16,32.0,0.4,12.8,232.72727272727272,231.63636363636363,30.0,12.0,1.71,7.485380116959064,True
5,55,16,32.0,0.5,16.0,290.90909090909093,289.8181818181818,30.0,12.0,1.71,9.35672514619883,True
5,55,16,32.0,0.6,19.2,349.09090909090907,348.0,30.0,12.0,1.71,11.228070175438596,True
5,55,16,32.0,0.7,22.4,407.27272727272725,406.1818181818182,30.0,12.0,1.71,13.099415204678362,True
10,50,4,8.0,0.2,1.6,32.0,29.6,30.0,12.0,1.62,0.9876543209876543,False
10,50,4,8.0,0.3,2.4,48.0,45.6,30.0,12.0,1.62,1.4814814814814814,True
10,50,4,8.0,0.4,3.2,64.0,61.6,30.0,12.0,1.62,1.9753086419753085,True
10,50,4,8.0,0.5,4.0,80.0,77.6,30.0,12.0,1.62,2.4691358024691357,True
10,50,4,8.0,0.6,4.8,96.0,93.6,30.0,12.0,1.62,2.962962962962963,True
10,50,4,8.0,0.7,5.6,112.0,109.6,30.0,12.0,1.62,3.45679012345679,True
10,50,8,16.0,0.2,3.2,64.0,61.6,30.0,12.0,1.62,1.9753086419753085,True
10,50,8,16.0,0.3,4.8,96.0,93.6,30.0,12.0,1.62,2.962962962962963,True
10,50,8,16.0,0.4,6.4,128.0,125.6,30.0,12.0,1.62,3.950617283950617,True
10,50,8,16.0,0.5,8.0,160.0,157.6,30.0,12.0,1.62,4.938271604938271,True
10,50,8,16.0,0.6,9.6,192.0,189.6,30.0,12.0,1.62,5.925925925925926,True
10,50,8,16.0,0.7,11.2,224.0,221.6,30.0,12.0,1.62,6.91358024691358,True
10,50,16,32.0,0.2,6.4,128.0,125.6,30.0,12.0,1.62,3.950617283950617,True
10,50,16,32.0,0.3,9.6,192.0,189.6,30.0,12.0,1.62,5.925925925925926,True
