source_res,scene,authoritative,temporal_residual_gop,disocclusion_extra_gop,sr_residual_gop,total_gop,deterministic_warp_ms,deterministic_scale_ms
360p,optimistic,False,0.04888166399999999,0.005750784,0.2875392,0.342171648,0.18432,0.32255999999999996
360p,optimistic,True,0.0,0.0,0.2875392,0.2875392,0.0,0.32255999999999996
360p,median,False,0.247283712,0.046006272,1.1501568,1.443446784,0.3456,0.59904
360p,median,True,0.0,0.0,1.1501568,1.1501568,0.0,0.59904
360p,adversarial,False,1.0351411199999998,0.23003136000000002,3.9105331199999998,5.1757056,0.6912,1.10592
360p,adversarial,True,0.0,0.0,3.9105331199999998,3.9105331199999998,0.0,1.10592
540p,optimistic,False,0.10998374399999998,0.012939263999999999,0.2875392,0.410462208,0.41472,0.32255999999999996
540p,optimistic,True,0.0,0.0,0.2875392,0.2875392,0.0,0.32255999999999996
540p,median,False,0.5563883519999999,0.10351411199999999,1.1501568,1.810059264,0.7776,0.59904
540p,median,True,0.0,0.0,1.1501568,1.1501568,0.0,0.59904
540p,adversarial,False,2.3290675199999997,0.51757056,3.9105331199999998,6.7571712,1.5552,1.10592
540p,adversarial,True,0.0,0.0,3.9105331199999998,3.9105331199999998,0.0,1.10592
720p,optimistic,False,0.19552665599999997,0.023003136,0.2875392,0.506068992,0.73728,0.32255999999999996
720p,optimistic,True,0.0,0.0,0.2875392,0.2875392,0.0,0.32255999999999996
720p,median,False,0.989134848,0.184025088,1.1501568,2.3233167359999998,1.3824,0.59904
720p,median,True,0.0,0.0,1.1501568,1.1501568,0.0,0.59904
720p,adversarial,False,4.140564479999999,0.9201254400000001,3.9105331199999998,8.97122304,2.7648,1.10592
720p,adversarial,True,0.0,0.0,3.9105331199999998,3.9105331199999998,0.0,1.10592
