source_res,source_fps,nodes,scene,owner_only_crossover_mib_s,finishing_owner_crossover_mib_s,independent_au_crossover_mib_s,raw_gather_crossover_mib_s
360p,5,4,optimistic,12.5,12.5,12.5,200
360p,5,4,median,12.5,50,12.5,200
360p,5,4,adversarial,12.5,100,12.5,200
360p,5,8,optimistic,12.5,12.5,12.5,200
360p,5,8,median,12.5,50,12.5,200
360p,5,8,adversarial,12.5,100,12.5,200
360p,5,16,optimistic,12.5,12.5,12.5,200
360p,5,16,median,12.5,50,12.5,200
360p,5,16,adversarial,12.5,100,12.5,200
360p,10,4,optimistic,12.5,12.5,12.5,200
360p,10,4,median,12.5,12.5,12.5,200
360p,10,4,adversarial,12.5,50,12.5,200
360p,10,8,optimistic,12.5,12.5,12.5,200
360p,10,8,median,12.5,12.5,12.5,200
360p,10,8,adversarial,12.5,50,12.5,200
360p,10,16,optimistic,12.5,12.5,12.5,200
360p,10,16,median,12.5,12.5,12.5,200
360p,10,16,adversarial,12.5,50,12.5,200
360p,15,4,optimistic,12.5,12.5,12.5,200
360p,15,4,median,12.5,12.5,12.5,200
360p,15,4,adversarial,12.5,12.5,12.5,200
360p,15,8,optimistic,12.5,12.5,12.5,200
360p,15,8,median,12.5,12.5,12.5,200
360p,15,8,adversarial,12.5,12.5,12.5,200
360p,15,16,optimistic,12.5,12.5,12.5,200
360p,15,16,median,12.5,12.5,12.5,200
360p,15,16,adversarial,12.5,12.5,12.5,200
540p,5,4,optimistic,25,25,25,200
540p,5,4,median,25,50,25,200
540p,5,4,adversarial,25,100,25,200
540p,5,8,optimistic,25,25,25,200
540p,5,8,median,25,50,25,200
540p,5,8,adversarial,25,100,25,200
540p,5,16,optimistic,25,25,25,200
540p,5,16,median,25,50,25,200
540p,5,16,adversarial,25,100,25,200
540p,10,4,optimistic,12.5,12.5,12.5,200
540p,10,4,median,12.5,12.5,12.5,200
540p,10,4,adversarial,12.5,50,12.5,200
540p,10,8,optimistic,12.5,12.5,12.5,200
540p,10,8,median,12.5,12.5,12.5,200
540p,10,8,adversarial,12.5,50,12.5,200
540p,10,16,optimistic,12.5,12.5,12.5,200
540p,10,16,median,12.5,12.5,12.5,200
540p,10,16,adversarial,12.5,50,12.5,200
540p,15,4,optimistic,12.5,12.5,12.5,200
540p,15,4,median,12.5,12.5,12.5,200
540p,15,4,adversarial,12.5,12.5,12.5,200
540p,15,8,optimistic,12.5,12.5,12.5,200
540p,15,8,median,12.5,12.5,12.5,200
540p,15,8,adversarial,12.5,12.5,12.5,200
540p,15,16,optimistic,12.5,12.5,12.5,200
540p,15,16,median,12.5,12.5,12.5,200
540p,15,16,adversarial,12.5,12.5,12.5,200
720p,5,4,optimistic,25,25,25,200
720p,5,4,median,25,50,25,200
720p,5,4,adversarial,50,100,50,200
720p,5,8,optimistic,25,25,25,200
720p,5,8,median,25,50,25,200
720p,5,8,adversarial,50,100,50,200
720p,5,16,optimistic,25,25,25,200
720p,5,16,median,25,50,25,200
720p,5,16,adversarial,50,100,50,200
720p,10,4,optimistic,25,25,25,200
720p,10,4,median,25,25,25,200
720p,10,4,adversarial,25,50,50,200
720p,10,8,optimistic,25,25,25,200
720p,10,8,median,25,25,25,200
720p,10,8,adversarial,25,50,50,200
720p,10,16,optimistic,25,25,25,200
720p,10,16,median,25,25,25,200
720p,10,16,adversarial,25,50,50,200
720p,15,4,optimistic,25,25,25,200
720p,15,4,median,25,25,25,200
720p,15,4,adversarial,25,25,25,200
720p,15,8,optimistic,25,25,25,200
720p,15,8,median,25,25,25,200
720p,15,8,adversarial,25,25,25,200
720p,15,16,optimistic,25,25,25,200
720p,15,16,median,25,25,25,200
720p,15,16,adversarial,25,25,25,200
