source_res,source_fps,nodes,scene,transport,effective_utilization,bandwidth_mib_s,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,context_bytes,output_transport_bytes,total_transfer_bytes,avg_bytes_per_display_frame,avg_mib_s_over_clip,ingress_busy_fraction,egress_busy_fraction,link_busy_fraction,max_node_busy_fraction,required_effective_tops,available_effective_tops,compute_capacity_ratio,reconstructed_gop,authoritative_gop,stale_replays_rejected,bottleneck
360p,5,4,optimistic,owner_only,0.4,12.5,60.736793175333105,46.89322248968688,56.82996565374924,66.76670881781138,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.15916677692778497,0.12070518287841413,0.15916677692778497,0.09192778945399169,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,25,60.902326850303524,27.539429986405935,34.959792226408354,42.63276502640838,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.08000329490815852,0.06295317107453767,0.08000329490815852,0.09217833190157033,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,50,60.953794626203575,19.22079595320281,26.64115819320523,34.314130993205254,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.04023863164910427,0.033941337781352145,0.04023863164910427,0.09225623062850753,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,100,60.979561149011616,15.061478936601247,22.481841176603666,30.15481397660369,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.020331085910043043,0.019417025215305316,0.020331085910043043,0.0922952293862592,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,125,60.984717067893804,14.229615533280935,21.649977773283354,29.32295057328338,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016347556904644928,0.016510689037622032,0.016510689037622032,0.09230303309469792,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,200,60.99245258120373,12.981820428300466,20.402182668302885,28.07515546830291,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.010371000184913623,0.01215026314666122,0.01215026314666122,0.09231474113197972,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,400,60.998900341508396,11.941991174150075,19.362353414152494,27.03532621415252,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.005389377940573353,0.008515729813865652,0.008515729813865652,0.09232450009883901,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,800,61.00212473290199,11.42207654707488,18.8424387870773,26.515411587077324,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.002898171826859088,0.006698174966256428,0.006698174966256428,0.09232938035605463,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,1600,61.00373705643275,11.162119233537283,18.5824814735397,26.255454273539726,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.0016524700038461557,0.0057893254838195475,0.0057893254838195475,0.09233182067814472,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,finishing_owner,0.4,12.5,60.09519348707326,46.89322248968688,56.82996565374924,66.76670881781138,0,20967936,16382400,37350336,62250.56,3.562005615234375,0.1606351094821255,0.1299937088452876,0.1606351094821255,0.09080299737239036,0.02025713664,3.2,157.96901886327012,0.342171648,0.2875392,1,HEADROOM
