source_res,source_fps,nodes,scene,transport,effective_utilization,bandwidth_mib_s,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,context_bytes,output_transport_bytes,total_transfer_bytes,avg_bytes_per_display_frame,avg_mib_s_over_clip,ingress_busy_fraction,egress_busy_fraction,link_busy_fraction,max_node_busy_fraction,required_effective_tops,available_effective_tops,compute_capacity_ratio,reconstructed_gop,authoritative_gop,stale_replays_rejected,bottleneck
360p,5,4,optimistic,owner_only,0.2,125,60.9242225132213,17.223617453275438,26.714261933282614,36.52580753326765,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016331340740620932,0.016494311052633517,0.016494311052633517,0.1179229365299683,0.02025713664,0.4,19.746127357908765,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.3,125,60.964538872326834,15.227616173277966,23.338072493281288,31.72390289328905,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.01634214793964314,0.01650522609660395,0.01650522609660395,0.1008486521957924,0.02025713664,0.6,29.619191036863146,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.4,125,60.984717067893804,14.229615533280935,21.649977773283354,29.32295057328338,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016347556904644928,0.016510689037622032,0.016510689037622032,0.09230303309469792,0.02025713664,0.8,39.49225471581753,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.5,125,60.996830397991936,13.630815149281261,20.63712094128121,27.882379181281067,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016350804002649228,0.016513968538390034,0.016513968538390034,0.08717294578233399,0.02025713664,1.0,49.36531839477191,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.6,125,61.00490862514252,13.231614893280494,19.961883053279962,26.921998253279526,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016352969451377732,0.0165161555961132,0.0165161555961132,0.08375175521988087,0.02025713664,1.2,59.23838207372629,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,owner_only,0.7,125,61.01068009754317,12.946471853281551,19.479570276139384,26.236011876138946,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016354516551668256,0.016517718134904526,0.016517718134904526,0.08130749281667984,0.02025713664,1.4,69.11144575268068,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,finishing_owner,0.2,125,60.1667563543531,41.39004593640493,84.93122025281173,117.9255195692167,0,80993792,497457600,578451392,964085.6533333333,55.16542358398438,0.0635374578632706,0.3853981872061049,0.3853981872061049,0.04935866978992532,0.02025713664,1.6,78.98450943163506,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,finishing_owner,0.3,125,60.232181291555634,41.10490289640529,74.09920221281163,117.64037652921797,0,61670400,431102400,492772800,821288.0,46.994476318359375,0.048429465770980944,0.3349963637085517,0.3349963637085517,0.04898676558437928,0.02025713664,2.4,118.47676414745258,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,finishing_owner,0.4,125,60.23393544681743,30.267926746405692,73.80910106281226,106.80340037921815,0,61670400,429720000,491390400,818984.0,46.862640380859375,0.04843087619312384,0.3339473202359094,0.3339473202359094,0.04619197528509835,0.02025713664,3.2,157.96901886327012,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,finishing_owner,0.5,125,60.23519774790014,30.059178601124586,73.60035291753047,106.59465223393636,0,61670400,429720000,491390400,818984.0,46.862640380859375,0.04843189114170725,0.33395431865068625,0.33395431865068625,0.04361796736883779,0.02025713664,4.0,197.46127357908765,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,finishing_owner,0.6,125,60.23554260938042,30.002149993124476,73.54332430953036,106.53762362593625,0,61670400,429720000,491390400,818984.0,46.862640380859375,0.04843216842632316,0.33395623062217444,0.33395623062217444,0.04190155663429398,0.02025713664,4.8,236.95352829490517,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,finishing_owner,0.7,125,60.23578894142686,29.961415273124658,73.50258958953054,106.49688890593643,0,61670400,429720000,491390400,818984.0,46.862640380859375,0.04843236648870702,0.3339575963294985,0.3339575963294985,0.04067553693380102,0.02025713664,5.6,276.4457830107227,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,independent_au,0.2,125,61.09664137434476,11.949957435428587,14.957658110859484,17.75688479542967,0,80993792,20250000,101243792,168739.65333333332,9.655360412597656,0.06451943751208927,0.020619631688244735,0.06451943751208927,0.05012151443081057,0.02025713664,1.6,78.98450943163506,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,independent_au,0.3,125,61.10657375348779,11.664814395428948,14.016817346288917,16.61631263542975,0,61670400,20250000,81920400,136534.0,7.812538146972656,0.04913251784210831,0.020622983787396347,0.04913251784210831,0.049697907994349144,0.02025713664,2.4,118.47676414745258,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,independent_au,0.4,125,61.11199044144157,11.227183615429567,13.436762306289893,15.830967295431037,0,61670400,20250000,81920400,136534.0,7.812538146972656,0.04913687311030921,0.02062481187660166,0.04913687311030921,0.04686533481755737,0.02025713664,3.2,157.96901886327012,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,independent_au,0.5,125,61.11678294235296,10.799469055429654,12.923504834288906,15.146623999429721,0,61670400,20250000,81920400,136534.0,7.812538146972656,0.04914072650319436,0.02062642930763282,0.04914072650319436,0.04425634751337437,0.02025713664,4.0,197.46127357908765,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,independent_au,0.6,125,61.118462426892286,10.514326015429106,12.676513790858735,14.933882170858851,0,61670400,20250000,81920400,136534.0,7.812538146972656,0.04914207688661508,0.02062699612033885,0.04914207688661508,0.04251574077100752,0.02025713664,4.8,236.95352829490517,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,independent_au,0.7,125,61.120159667328366,10.310652415430013,12.513574910859461,14.70200944085991,0,61670400,20250000,81920400,136534.0,7.812538146972656,0.04914344154659986,0.020627568925519157,0.04914344154659986,0.04127272765308518,0.02025713664,5.6,276.4457830107227,0.342171648,0.2875392,1,HEADROOM
360p,5,4,optimistic,raw_gather,0.2,125,41.4718359869188,2255.4667622449815,4177.146215369963,4524.786996619961,592,80993792,1866240000,1947233792,3245389.6533333333,185.702685546875,0.043795198398470375,0.9874638547716527,0.9874638547716527,0.03402202116405375,0.02025713664,1.6,78.98450943163506,0.342171648,0.2875392,1,INTERCONNECT
360p,5,4,optimistic,raw_gather,0.3,125,41.4726533718165,2255.181619204982,4176.861072329963,4524.501853579961,592,61670400,1866240000,1927910400,3213184.0,183.85986328125,0.03334593574122693,0.9874833170892163,0.9874833170892163,0.033729662537926676,0.02025713664,2.4,118.47676414745258,0.342171648,0.2875392,1,INTERCONNECT
360p,5,4,optimistic,raw_gather,0.4,125,41.4730620763481,2255.0390476849816,4176.718500809962,4524.359282059961,592,61670400,1866240000,1927910400,3213184.0,183.85986328125,0.03334626435861549,0.9874930485356939,0.9874930485356939,0.031804706835393104,0.02025713664,3.2,157.96901886327012,0.342171648,0.2875392,1,INTERCONNECT
360p,5,4,optimistic,raw_gather,0.5,125,41.47330730293368,2254.9535047729814,4176.632957897962,4524.27373914796,593,61670400,1866240000,1927910400,3213184.0,183.85986328125,0.03334646153215756,0.9874988874956463,0.9874988874956463,0.03003196523381889,0.02025713664,4.0,197.46127357908765,0.342171648,0.2875392,1,INTERCONNECT
360p,5,4,optimistic,raw_gather,0.6,125,41.473470788935174,2254.8964761649813,4176.575929289962,4524.21671053996,593,61670400,1866240000,1927910400,3213184.0,183.85986328125,0.03334659298248103,0.9875027801739762,0.9875027801739762,0.02885012585265029,0.02025713664,4.8,236.95352829490517,0.342171648,0.2875392,1,INTERCONNECT
360p,5,4,optimistic,raw_gather,0.7,125,41.473587565439665,2254.8557414449815,4176.535194569962,4524.1759758199605,593,61670400,1866240000,1927910400,3213184.0,183.85986328125,0.033346686876203714,0.987505560677287,0.987505560677287,0.02800594916148053,0.02025713664,5.6,276.4457830107227,0.342171648,0.2875392,1,INTERCONNECT
360p,5,4,median,owner_only,0.2,125,60.478179564199394,39.56025233328046,64.24771217328544,90.01399697328634,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016211774514168928,0.016373551675812503,0.016373551675812503,0.30622248562990184,0.08514035712000001,0.4,4.698124526729727,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,owner_only,0.3,125,60.64580576174712,31.140146093279782,50.057652653284094,69.80957585328542,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.01625670837522251,0.016418933931487942,0.016418933931487942,0.23535727043881205,0.08514035712000001,0.6,7.0471867900945915,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,owner_only,0.4,125,60.72996779880479,26.93009297327626,42.96262289328388,59.70736529327041,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.01627926884210931,0.01644171952908422,0.01644171952908422,0.19977714660223006,0.08514035712000001,0.8,9.396249053459455,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,owner_only,0.5,125,60.78057723960374,24.404061101280945,38.70560503728302,53.64603895728396,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016292835203538057,0.016455421269119665,0.016455421269119665,0.17838163107187302,0.08514035712000001,1.0,11.745311316824319,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,owner_only,0.6,125,60.81436375449604,22.72003985328095,35.86759313328275,49.60515473328451,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.01630189201320066,0.016464568456609787,0.016464568456609787,0.1640981319325509,0.08514035712000001,1.2,14.094373580189183,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,owner_only,0.7,125,60.83851998586945,21.51716753328037,33.84044177327996,46.718808858993725,0,20556800,15000000,35556800,59261.333333333336,3.390960693359375,0.016308367330066343,0.016471108390608055,0.016471108390608055,0.15388590640025,0.08514035712000001,1.4,16.443435843554045,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,finishing_owner,0.2,125,60.082355717409754,55.398603639686826,98.93977795609317,142.48095227249905,0,82227200,566577600,648804800,1081341.3333333333,61.874847412109375,0.06439864711783368,0.43766431683970763,0.43766431683970763,0.10361460837926346,0.08514035712000001,1.6,18.79249810691891,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,finishing_owner,0.3,125,60.08959364943556,54.19573131968673,97.73690563609307,141.27807995249896,0,81816064,566577600,648393664,1080656.1066666667,61.835638427734374,0.06409226476141362,0.4377170408805276,0.4377170408805276,0.07943773134376518,0.08514035712000001,2.4,28.188747160378366,1.443446784,1.1501568,1,HEADROOM
360p,5,4,median,finishing_owner,0.4,125,60.093213269436006,53.594295159686226,97.13546947609302,140.676643792498,0,81816064,566577600,648393664,1080656.1066666667,61.835638427734374,0.06409612549052353,0.43774340766484887,0.43774340766484887,0.06734710831030302,0.08514035712000001,3.2,37.58499621383782,1.443446784,1.1501568,1,HEADROOM
